file,size,custom_grep_avg_time_us,standard_grep_avg_time_us
test_files/file_10.txt,10,2,2
test_files/file_100.txt,100,2,55
test_files/file_110.txt,110,2,79
test_files/file_120.txt,120,2,110
test_files/file_130.txt,130,2,151
test_files/file_140.txt,140,3,199
test_files/file_150.txt,150,2,257
test_files/file_160.txt,160,2,329
test_files/file_170.txt,170,2,417
test_files/file_180.txt,180,4,566
test_files/file_190.txt,190,5,739
test_files/file_20.txt,20,6,3
test_files/file_200.txt,200,2,889
test_files/file_30.txt,30,5,8
test_files/file_40.txt,40,9,5
test_files/file_50.txt,50,4,7
test_files/file_60.txt,60,4,11
test_files/file_70.txt,70,3,16
test_files/file_80.txt,80,2,24
test_files/file_90.txt,90,4,42
