file,size,improved__grep_avg_time_us,original_grep_avg_time_us
test_files/file_10.txt,10,2,1
test_files/file_100.txt,100,31,43
test_files/file_110.txt,110,38,57
test_files/file_120.txt,120,46,68
test_files/file_130.txt,130,53,85
test_files/file_140.txt,140,64,101
test_files/file_150.txt,150,77,123
test_files/file_160.txt,160,90,146
test_files/file_170.txt,170,104,173
test_files/file_180.txt,180,119,200
test_files/file_190.txt,190,132,229
test_files/file_20.txt,20,2,2
test_files/file_200.txt,200,152,276
test_files/file_30.txt,30,4,4
test_files/file_40.txt,40,6,6
test_files/file_50.txt,50,8,9
test_files/file_60.txt,60,11,14
test_files/file_70.txt,70,15,19
test_files/file_80.txt,80,19,25
test_files/file_90.txt,90,25,34
